# 枠順確定(4/23木)後に gate と num を埋めて update_brackets.py で適用
# 列: gate (枠番1-8) / num (馬番1-N) / name (変更不可)
gate	num	name
		アッカン
		アローメタル
		ヴィサージュ
		エーデルゼーレ
		オリオンブレード
		オルフセン
		カットソロ
		ケントン
		コスモギガンティア
		ゴーイントゥスカイ
		サガルマータ
		シャドウマスター
		タイダルロック
		テルヒコウ
		トゥーナスタディ
		ノチェセラーダ
		ノーブルサヴェージ
		パラディオン
		ヒシアムルーズ
		ブラックオリンピア
		ベルウッドクレド
		ボンドマティーニ
		ミッキーファルコン
		ヨカオウ
		ラストスマイル
