# 枠順確定(4/23木)後に gate と num を埋めて update_brackets.py で適用
# 列: gate (枠番1-8) / num (馬番1-N) / name (変更不可)
gate	num	name
		アサヒ
		アドマイヤズーム
		ウォーターリヒト
		エルトンバローズ
		オフトレイル
		キョウエイブリッサ
		クルゼイロドスル
		シックスペンス
		シャンパンカラー
		ショウナンアデイブ
		ドラゴンブースト
		ファインライン
		ファーヴェント
		ブエナオンダ
		ベラジオボンド
		マテンロウスカイ
		ランスオブカオス
		レディントン
		ロングラン
