Ｍ,日付,開催,レース名,馬名S,Ｃ,性別,年齢,騎手,斤量,頭数,馬印,レース印１,人気,着順,距離,馬場状態,着差,2角,3角,4角,上り3F,間隔,前走開催,前走レース名,前芝・ダ,前距離,前走馬場状態,前走人気,前走着順,前2角,前3角,前4角,前走上り3F,替,前騎手,前走斤量,前走頭数,前走馬番,前走走破タイム,前走着差タイム,前走馬印,前走馬印2,前走馬印3,前走馬印4,前走レース印１,前走日付
,240406,3中5,ニュージG2,クリーンエア,,牡,3,松岡正海, 57 ,16,"  ",,16,６,芝1600,稍,0.4,2,3,3,35.6,5,2中3,１勝ｸﾗｽ*,芝,1600,稍,3,３,2,2,3,35.7,*,大野拓弥, 57 ,12,4,1355, 0.4,"  ","  ","  ","  ",,240302
,240406,3中5,ニュージG2,エイムフォーエース,,牡,3,森泰斗, 57 ,16,"  ",,15,７,芝1600,稍,0.5,9,11,9,35.0,3,1名3,ファルコG3,芝,1400,良,9,14,,15,14,34.9,*,本田正重, 57 ,17,13,1215, 1.3,"  ","  ","  ","  ",,240316
,240406,3中5,ニュージG2,オーサムストローク,,牡,3,田辺裕信, 57 ,16,"  ",,10,８,芝1600,稍,0.5,3,4,4,35.6,16,5阪6,フューチG1,芝,1600,良,7,14,,7,10,35.6,*,坂井瑠星, 56 ,17,7,1348, 1.0,"  ","  ","  ","  ",,231217
,240406,3中5,ニュージG2,エンヤラヴフェイス,,牡,3,北村宏司, 57 ,16,"  ",,8,９,芝1600,稍,0.6,12,11,9,35.2,3,1名3,ファルコG3,芝,1400,良,13,８,,12,12,34.5,*,菊沢一樹, 57 ,17,12,1209, 0.7,"  ","  ","  ","  ",,240316
,240406,3中5,ニュージG2,スパークリシャール,,牡,3,浜中俊, 57 ,16,"  ",,6,10,芝1600,稍,0.7,11,9,9,35.5,5,2中3,１勝ｸﾗｽ*,芝,1600,稍,2,１,2,2,2,35.4,*,Ｍ．デム, 57 ,12,5,1351,-0.1,"  ","  ","  ","  ",,240302
,240406,3中5,ニュージG2,ルージュスエルテ,,牝,3,横山和生, 55 ,16,"  ",,4,11,芝1600,稍,0.8,7,10,12,35.5,8,1東5,クイーンG3,芝,1600,良,4,３,,13,12,33.5,,横山和生, 55 ,13,8,1334, 0.3,"  ","  ","  ","  ",,240210
,240406,3中5,ニュージG2,シャインズオンユー,,牡,3,石川裕紀, 57 ,16,"  ",,13,12,芝1600,稍,0.9,7,7,7,35.8,8,1東5,１勝ｸﾗｽ*,芝,1400,良,5,４,,1,1,34.7,*,松山弘平, 57 ,13,7,1218, 0.9,"  ","  ","  ","  ",,240210
,240406,3中5,ニュージG2,サトミノキラリ,,牡,3,内田博幸, 57 ,16,"  ",,11,13,芝1600,稍,0.9,14,16,16,34.9,3,1名3,ファルコG3,芝,1400,良,4,11,,12,12,34.7,*,横山武史, 57 ,17,3,1211, 0.9,"  ","  ","  ","  ",,240316
,240406,3中5,ニュージG2,デビッドテソーロ,,牡,3,原優介, 57 ,16,"  ",,14,14,芝1600,稍,1.2,12,11,15,35.7,6,2中1,１勝ｸﾗｽ*,芝,1600,稍,5,１,1,1,1,35.6,,原優介,56☆,11,1,1351,-0.1,"  ","  ","  ","  ",,240224
,240406,3中5,ニュージG2,ブライトマン,,牡,3,三浦皇成, 57 ,16,"  ",,7,15,芝1600,稍,1.3,14,14,12,35.5,7,1東7,フリージ･1勝,芝,2000,良,4,６,7,6,6,33.9,*,菅原明良, 57 ,10,7,2005, 0.2,"  ","  ","  ","  ",,240217
,240406,3中5,ニュージG2,キャプテンシー,,牡,3,Ｍ．デム, 57 ,16,"  ",,2,16,芝1600,稍,1.3,5,2,2,36.7,13,1中1,ジュニア(L),芝,1600,良,2,１,1,1,1,34.6,*,キング, 57 ,10,1,1325,-0.4,"  ","  ","  ","  ",,240106
,230408,3中5,ニュージG2,エエヤン,,牡,3,Ｍ．デム, 56 ,16,"  ",,2,１,芝1600,稍,-0.2,4,2,3,36.0,6,2中2,１勝ｸﾗｽ*,芝,1600,良,1,１,2,2,1,34.7,,Ｍ．デム, 56 ,12,4,1340,-0.5,"  ","  ","  ","  ",,230226
,230408,3中5,ニュージG2,ウンブライル,,牝,3,ルメール, 54 ,16,"  ",,5,２,芝1600,稍,0.2,9,10,8,35.3,8,1東5,クイーンG3,芝,1600,稍,1,６,,9,9,34.6,,ルメール, 54 ,16,15,1334, 0.3,"  ","  ","  ","  ",,230211
,230408,3中5,ニュージG2,シャンパンカラー,,牡,3,内田博幸, 56 ,16,"  ",,7,３,芝1600,稍,0.3,6,6,4,35.7,12,1中6,京成杯G3,芝,2000,良,3,６,2,2,2,35.8,*,戸崎圭太, 56 ,9,9,2030, 0.8,"  ","  ","  ","  ",,230115
,230408,3中5,ニュージG2,モリアーナ,,牝,3,武藤雅, 54 ,16,"  ",,3,４,芝1600,稍,0.3,6,9,4,35.6,8,1東5,クイーンG3,芝,1600,稍,3,３,,12,11,34.0,,武藤雅, 54 ,16,3,1331, 0.0,"  ","  ","  ","  ",,230211
