データ順番号,日付,曜日,開催,Ｒ,レース名,重量種別,限定,馬名S,Ｃ,性別,年齢,騎手,斤量,ブリンカー,頭数,馬印,レース印１,人気,着順,距離,馬場状態,着差,2角,3角,4角,上り3F,上3F地点差,馬体重,馬体重増減,多頭出し,所属,調教師,種牡馬,母父馬
107,180407,土,3中5,11,ニュージG2,馬齢,国,デルタバローズ,,牡,3,大野拓弥, 56 ,,15,"  ",,9,３,芝1600,良,0.1,8,5,5,34.8,0.4,502,+4,,(美),堀宣行,"Into Mischief","Hard Spun"
108,180407,土,3中5,11,ニュージG2,馬齢,国,ゴールドギア,,牡,3,武藤雅, 56 ,,15,"  ",,12,４,芝1600,良,0.1,15,15,10,33.7,1.5,470,0,,(美),伊藤圭三,ロードカナロア,ゼンノロブロイ
109,180407,土,3中5,11,ニュージG2,馬齢,国,アイスフィヨルド,,牡,3,北村宏司, 56 ,,15,"  ",,7,５,芝1600,良,0.3,8,8,10,34.8,0.6,442,+2,,(美),武藤善則,クリストワイニング,ディープインパクト
110,180407,土,3中5,11,ニュージG2,馬齢,国,ファストアプローチ,,牡,3,田辺裕信, 56 ,,15,"  ",,5,６,芝1600,良,0.3,5,10,10,34.7,0.7,544,+6,,(美),藤沢和雄,"Dawn Approach",Marju
111,180407,土,3中5,11,ニュージG2,馬齢,国,カシアス,,牡,3,浜中俊, 56 ,,15,"  ",,3,７,芝1600,良,0.4,1,1,1,35.5,0.0,478,-4,,(栗),清水久詞,キンシャサノキセキ,"Dylan Thomas"
112,180407,土,3中5,11,ニュージG2,馬齢,国,リョーノテソーロ,,牡,3,吉田隼人, 56 ,,15,"  ",,4,８,芝1600,良,0.6,8,11,10,34.9,0.8,514,+4,,(美),武井亮,"Justin Phillip",Speightstown
113,180407,土,3中5,11,ニュージG2,馬齢,国,エントシャイデン,,牡,3,田中勝春, 56 ,,15,"  ",,10,９,芝1600,良,0.8,2,2,2,35.8,0.1,458,-6,,(栗),矢作芳人,ディープインパクト,サクラバクシンオー
114,180407,土,3中5,11,ニュージG2,馬齢,国,コスモイグナーツ,,牡,3,柴田大知, 56 ,,15,"  ",,11,10,芝1600,良,0.9,5,3,3,35.7,0.3,462,+2,,(美),高橋祥泰,エイシンフラッシュ,スペシャルウィーク
115,180407,土,3中5,11,ニュージG2,馬齢,国,カイザーメランジェ,,牡,3,黛弘人, 56 ,,15,"  ",,15,11,芝1600,良,1.0,13,11,5,35.3,0.8,458,-4,,(美),中野栄治,サクラオリオン,サクラプレジデント
116,180407,土,3中5,11,ニュージG2,馬齢,国,イサチルルンルン,,牝,3,国分恭介, 54 ,,15,"  ",,13,12,芝1600,良,1.1,8,11,15,35.3,0.9,434,+6,,(美),竹内正洋,パイロ,ハウスバスター
117,180407,土,3中5,11,ニュージG2,馬齢,国,ラムセスバローズ,,牡,3,内田博幸, 56 ,,15,"  ",,6,13,芝1600,良,1.2,2,3,3,36.0,0.3,488,-10,,(美),木村哲也,Curlin,"Dixie Union"
118,180407,土,3中5,11,ニュージG2,馬齢,国,ペイシャルアス,,牝,3,三浦皇成, 54 ,,15,"  ",,14,14,芝1600,良,1.4,5,6,9,36.0,0.5,478,+4,,(栗),坂口正則,ストロングリターン,タイキシャトル
119,180407,土,3中5,11,ニュージG2,馬齢,国,アンブロジオ,,牡,3,石橋脩, 56 ,,15,"  ",,8,15,芝1600,良,1.6,2,6,5,36.2,0.5,450,+2,,(美),菊沢隆徳,ローズキングダム,Songandaprayer
120,170408,土,3中5,11,ニュージG2,馬齢,国,ジョーストリクトリ,,牡,3,シュタル, 56 ,,16,"  ",,12,１,芝1600,稍,-0.2,5,5,4,34.9,0.4,492,-2,,(栗),清水久詞,ジョーカプチーノ,キングヘイロー
121,170408,土,3中5,11,ニュージG2,馬齢,国,メイソンジュニア,,牡,3,菱田裕二, 56 ,,16,"  ",,8,２,芝1600,稍,0.2,1,1,1,35.5,0.0,478,-8,,(栗),渡辺薫彦,Mayson,"American Post"
122,170408,土,3中5,11,ニュージG2,馬齢,国,ボンセルヴィーソ,,牡,3,松山弘平, 56 ,,16,"  ",,5,３,芝1600,稍,0.2,2,2,2,35.3,0.2,464,-4,,(栗),池添学,ダイワメジャー,サクラローレル
123,170408,土,3中5,11,ニュージG2,馬齢,国,スズカゼ,,牝,3,吉田隼人, 54 ,,16,"  ",,9,４,芝1600,稍,0.3,3,3,2,35.3,0.3,466,-2,,(美),伊藤正徳,ディープブリランテ,アフリート
124,170408,土,3中5,11,ニュージG2,馬齢,国,タイムトリップ,,牡,3,田辺裕信, 56 ,,16,"  ",,6,５,芝1600,稍,0.3,14,13,9,34.4,1.2,480,+2,,(美),菊川正達,ロードアルティマ,ホークアタック
125,170408,土,3中5,11,ニュージG2,馬齢,国,スズカメジャー,,牡,3,岩田康誠, 56 ,,16,"  ",,2,６,芝1600,稍,0.4,9,12,15,34.7,1.0,490,0,,(栗),橋田満,ダイワメジャー,クロフネ
126,170408,土,3中5,11,ニュージG2,馬齢,国,タイセイスターリー,,牡,3,内田博幸, 56 ,,16,"  ",,4,７,芝1600,稍,0.5,3,3,4,35.5,0.3,520,+4,*,(栗),矢作芳人,マンハッタンカフェ,"Rock of Gibraltar"
127,170408,土,3中5,11,ニュージG2,馬齢,国,クライムメジャー,,牡,3,川田将雅, 56 ,,16,"  ",,1,８,芝1600,稍,0.6,8,9,9,35.2,0.7,506,-6,,(栗),池江泰寿,ダイワメジャー,トニービン
128,170408,土,3中5,11,ニュージG2,馬齢,国,ダイイチターミナル,,牡,3,大野拓弥, 56 ,,16,"  ",,11,９,芝1600,稍,0.8,11,7,6,35.5,0.6,432,-2,,(美),高市圭二,コンデュイット,ウイニングチケット
129,170408,土,3中5,11,ニュージG2,馬齢,国,ナイトバナレット,,牡,3,中谷雄太, 56 ,,16,"  ",,7,10,芝1600,稍,0.9,15,15,15,34.8,1.4,478,+2,*,(栗),矢作芳人,ディープブリランテ,"Favorite Trick"
130,170408,土,3中5,11,ニュージG2,馬齢,国,カリビアンゴールド,,牝,3,田中勝春, 54 ,,16,"  ",,10,11,芝1600,稍,0.9,5,6,6,35.7,0.5,460,-10,,(美),小島太,ステイゴールド,"Cape Cross"
131,170408,土,3中5,11,ニュージG2,馬齢,国,イノバティブ,,牡,3,石川裕紀, 56 ,,16,"  ",,14,12,芝1600,稍,1.0,16,15,9,34.9,1.4,440,+8,,(美),相沢郁,ディープブリランテ,Posse
132,170408,土,3中5,11,ニュージG2,馬齢,国,ランガディア,,牡,3,戸崎圭太, 56 ,,16,"  ",,3,13,芝1600,稍,1.2,12,11,12,35.6,0.9,462,-12,,(美),木村哲也,キングカメハメハ,サンデーサイレンス
133,170408,土,3中5,11,ニュージG2,馬齢,国,ジャッキー,,牡,3,松岡正海, 56 ,,16,"  ",,13,14,芝1600,稍,1.3,5,9,12,35.9,0.7,478,-2,,(美),高橋祥泰,サムライハート,アフリート
134,170408,土,3中5,11,ニュージG2,馬齢,国,マンカストラップ,,牡,3,江田照男, 56 ,,16,"  ",,15,15,芝1600,稍,1.8,9,7,6,36.5,0.6,480,+2,,(美),伊藤大士,プリサイスエンド,ストーミングホーム
135,170408,土,3中5,11,ニュージG2,馬齢,国,セイカチトセ,,牡,3,吉田豊, 56 ,B,16,"  ",,16,16,芝1600,稍,2.4,12,13,12,36.6,1.1,478,+4,,(美),南田美知,ヴァーミリアン,レジエンドテイオー
136,160409,土,3中5,11,ニュージG2,馬齢,国,ダンツプリウス,,牡,3,丸山元気, 56 ,,16,"  ",,2,１,芝1600,良,-0.0,8,5,3,34.8,0.4,498,-8,,(栗),山内研二,ブライアンズタイム,マンハッタンカフェ
137,160409,土,3中5,11,ニュージG2,馬齢,国,ストーミーシー,,牡,3,江田照男, 56 ,,16,"  ",,14,２,芝1600,良,0.0,11,13,15,34.4,0.8,520,+2,,(美),斎藤誠,アドマイヤムーン,ゼンノエルシド
138,160409,土,3中5,11,ニュージG2,馬齢,国,エクラミレネール,,牝,3,北村宏司, 54 ,,16,"  ",,12,３,芝1600,良,0.0,9,9,8,34.7,0.5,436,-4,,(美),高橋裕,マツリダゴッホ,プラウドデボネア
139,160409,土,3中5,11,ニュージG2,馬齢,国,アストラエンブレム,,牡,3,田辺裕信, 56 ,,16,"  ",,1,４,芝1600,良,0.1,15,15,12,34.4,0.9,456,0,,(美),小島茂之,ダイワメジャー,ウォーエンブレム
140,160409,土,3中5,11,ニュージG2,馬齢,国,レインボーライン,,牡,3,内田博幸, 56 ,,16,"  ",,4,５,芝1600,良,0.1,14,13,12,34.6,0.7,432,-6,,(栗),浅見秀一,ステイゴールド,フレンチデピュティ
141,160409,土,3中5,11,ニュージG2,馬齢,国,ハレルヤボーイ,,牡,3,吉田豊, 56 ,,16,"  ",,6,６,芝1600,良,0.2,15,15,15,34.4,1.0,448,-4,,(美),田村康仁,トーセンファントム,キングカメハメハ
142,160409,土,3中5,11,ニュージG2,馬齢,国,サーブルオール,,牡,3,柴山雄一, 56 ,,16,"  ",,3,７,芝1600,良,0.4,11,9,6,35.1,0.5,478,-8,,(美),萩原清,ハービンジャー,アドマイヤベガ
143,160409,土,3中5,11,ニュージG2,馬齢,国,キャプテンペリー,,牡,3,大野拓弥, 56 ,,16,"  ",,7,８,芝1600,良,0.5,1,2,1,35.7,0.0,474,+2,,(美),岩戸孝樹,クロフネ,ネオユニヴァース
144,160409,土,3中5,11,ニュージG2,馬齢,国,ショウナンライズ,,牡,3,柴田善臣, 56 ,,16,"  ",,9,９,芝1600,良,0.6,5,3,6,35.5,0.3,460,0,,(美),上原博之,ダイワメジャー,Rahy
145,160409,土,3中5,11,ニュージG2,馬齢,国,マディディ,,牡,3,三浦皇成, 56 ,,16,"  ",,10,10,芝1600,良,0.7,11,12,12,35.3,0.6,456,-6,,(栗),友道康夫,"Scat Daddy",Stravinsky
146,160409,土,3中5,11,ニュージG2,馬齢,国,カープストリーマー,,牡,3,岩田康誠, 56 ,,16,"  ",,8,11,芝1600,良,0.9,5,9,8,35.6,0.5,518,+4,,(栗),清水久詞,ダイワメジャー,Siphon
147,160409,土,3中5,11,ニュージG2,馬齢,国,ボールライトニング,,牡,3,蛯名正義, 56 ,,16,"  ",,5,12,芝1600,良,1.2,9,5,3,36.0,0.4,504,-6,,(栗),宮本博,ダイワメジャー,Dehere
148,160409,土,3中5,11,ニュージG2,馬齢,国,ダノンスパーク,,牡,3,石橋脩, 56 ,,16,"  ",,11,13,芝1600,良,1.3,5,5,8,36.1,0.4,530,+2,,(栗),音無秀孝,ヴィクトワールピサ,"Rock of Gibraltar"
149,160409,土,3中5,11,ニュージG2,馬齢,国,ジュンザワールド,,牡,3,田中勝春, 56 ,,16,"  ",,16,14,芝1600,良,2.6,2,3,3,37.5,0.3,510,+2,,(美),勢司和浩,ゼンノロブロイ,シンボリクリスエス
150,160409,土,3中5,11,ニュージG2,馬齢,国,モンスターキング,,牡,3,石川裕紀, 56 ,,16,"  ",,13,15,芝1600,良,3.0,2,1,2,38.2,0.0,464,+4,,(美),武井亮,アサクサキングス,デヒア
151,160409,土,3中5,11,ニュージG2,馬齢,国,マテラアリオン,,牡,3,松岡正海, 56 ,,16,"  ",,15,16,芝1600,良,3.1,2,5,8,37.9,0.4,458,0,,(栗),森秀行,マンハッタンカフェ,Vindication
