データ順番号,日付,曜日,開催,Ｒ,レース名,重量種別,限定,馬名S,Ｃ,性別,年齢,騎手,斤量,ブリンカー,頭数,馬印,レース印１,人気,着順,距離,馬場状態,着差,2角,3角,4角,上り3F,上3F地点差,馬体重,馬体重増減,多頭出し,所属,調教師,種牡馬,母父馬
25,240406,土,3中5,11,ニュージG2,馬齢,国,ルージュスエルテ,,牝,3,横山和生, 55 ,,16,"  ",,4,11,芝1600,稍,0.8,7,10,12,35.5,0.8,468,-2,,(美),国枝栄,ハーツクライ,"Storm Cat"
26,240406,土,3中5,11,ニュージG2,馬齢,国,シャインズオンユー,,牡,3,石川裕紀, 57 ,,16,"  ",,13,12,芝1600,稍,0.9,7,7,7,35.8,0.6,446,-2,,(美),青木孝文,サトノクラウン,ファスリエフ
27,240406,土,3中5,11,ニュージG2,馬齢,国,サトミノキラリ,,牡,3,内田博幸, 57 ,,16,"  ",,11,13,芝1600,稍,0.9,14,16,16,34.9,1.5,464,0,,(美),鈴木伸尋,ビッグアーサー,ディープインパクト
28,240406,土,3中5,11,ニュージG2,馬齢,国,デビッドテソーロ,,牡,3,原優介, 57 ,B,16,"  ",,14,14,芝1600,稍,1.2,12,11,15,35.7,1.0,466,0,,(美),小手川準,スワーヴリチャード,Camelot
29,240406,土,3中5,11,ニュージG2,馬齢,国,ブライトマン,,牡,3,三浦皇成, 57 ,,16,"  ",,7,15,芝1600,稍,1.3,14,14,12,35.5,1.3,480,0,,(美),蛯名正義,キズナ,"Kitten's Joy"
30,240406,土,3中5,11,ニュージG2,馬齢,国,キャプテンシー,,牡,3,Ｍ．デム, 57 ,,16,"  ",,2,16,芝1600,稍,1.3,5,2,2,36.7,0.1,468,+6,,(栗),松永幹夫,モーリス,ステイゴールド
31,230408,土,3中5,11,ニュージG2,馬齢,国,エエヤン,,牡,3,Ｍ．デム, 56 ,,16,"  ",,2,１,芝1600,稍,-0.2,4,2,3,36.0,0.0,482,-10,,(美),伊藤大士,シルバーステート,ティンバーカントリー
32,230408,土,3中5,11,ニュージG2,馬齢,国,ウンブライル,,牝,3,ルメール, 54 ,B,16,"  ",,5,２,芝1600,稍,0.2,9,10,8,35.3,0.9,472,-6,,(美),木村哲也,ロードカナロア,ファルブラヴ
33,230408,土,3中5,11,ニュージG2,馬齢,国,シャンパンカラー,,牡,3,内田博幸, 56 ,,16,"  ",,7,３,芝1600,稍,0.3,6,6,4,35.7,0.6,504,+2,*,(美),田中剛,ドゥラメンテ,"Reckless Abandon"
34,230408,土,3中5,11,ニュージG2,馬齢,国,モリアーナ,,牝,3,武藤雅, 54 ,,16,"  ",,3,４,芝1600,稍,0.3,6,9,4,35.6,0.7,468,-6,,(美),武藤善則,エピファネイア,ダイワメジャー
