25,08,16,2,新潟,7,01,未勝利*,7,芝,8,1800,良,グランセレスト    ,牡,2,三浦皇成,55.0,13,11,4,4,0,0.4,3,108.6,"1486",62,0,0,5,6,34.3,520,竹内正洋,美,84,23100953,01122,01152,0425270111,フィールドレーシング,下河辺牧場,モーリス,ハンティングシーズン,"Pioneerof the Nile",鹿毛,230217,,  ,    ,58.3
25,06,21,3,東京,5,05,新馬,15,芝,0,1800,良,グランセレスト    ,牡,2,三浦皇成,55.0,12,12,5,5,0,0.9,6,108.7,"1487",58,0,4,3,3,35.2,510,竹内正洋,美,75,23100953,01122,01152,0525350512,フィールドレーシング,下河辺牧場,モーリス,ハンティングシーズン,"Pioneerof the Nile",鹿毛,230217,,  ,    ,54.4
26,02,22,1,東京,8,05,１勝ｸﾗｽ*,23,芝,0,1600,良,ゴーラッキー      ,牡,3,ルメール,57.0,12,01,1,1,0,-0.6,1,93.2,"1332",82,0,0,5,5,34.3,486,黒岩陽一,美,820,23107056,05339,01133,0526180501,吉田和美,ノーザンファーム,キタサンブラック,ジェットセッティング,"Fast Company",黒鹿,230505,,  ,    ,53.0
25,11,30,5,東京,8,06,新馬,15,芝,0,1800,良,ゴーラッキー      ,牡,2,ルメール,56.0,12,04,1,1,0,-0.1,2,107,"1470",67,0,2,1,1,33.6,484,黒岩陽一,美,750,23107056,05339,01133,0525580604,吉田和美,ノーザンファーム,キタサンブラック,ジェットセッティング,"Fast Company",黒鹿,230505,,  ,    ,59.2
26,02,14,1,東京,5,07,１勝ｸﾗｽ*,23,芝,0,1400,良,シュペルリング    ,牡,3,津村明秀,57.0,16,11,4,4,0,0.1,6,82,"1220",74,0,0,15,15,33,444,嘉藤貴行,美,120,23104450,01092,01195,0526150711,橋本実,ハシモトフアーム,シスキン,ラプソディーア,ディープブリランテ,鹿毛,230211,,  ,    ,61.4
25,11,08,5,東京,1,11,京王杯２G2,179,芝,0,1400,良,シュペルリング    ,牡,2,津村明秀,56.0,16,06,10,10,0,1.1,2,82,"1220",66,0,0,6,6,34.3,428,嘉藤貴行,美,0,23104450,01092,01195,0525511106,橋本実,ハシモトフアーム,シスキン,ラプソディーア,ディープブリランテ,鹿毛,230211,,  ,    ,54.3
25,10,11,4,東京,3,05,新馬,15,芝,0,1600,良,シュペルリング    ,牡,2,津村明秀,56.0,14,12,1,1,0,0,3,96.5,"1365",66,0,0,5,3,33.7,434,嘉藤貴行,美,750,23104450,01092,01195,0525430512,橋本実,ハシモトフアーム,シスキン,ラプソディーア,ディープブリランテ,鹿毛,230211,,  ,    ,61.8
26,03,21,2,中山,7,06,１勝ｸﾗｽ*,23,芝,8,1600,良,ジーティーシンドウ,牡,3,岩田望来,57.0,13,05,4,4,0,0.5,2,93.9,"1339",0,0,7,3,3,34.8,438,栗田徹,美,120,23102083,01174,01127,0626270605,田畑利彦,谷川牧場,オルフェーヴル,ヴァンゴーゴー,"Dutch Art",鹿毛,230330,,  ,    ,51.9
26,01,04,1,中山,1,10,ジュニア(L),115,芝,8,1600,良,ジーティーシンドウ,牡,3,菅原明良,57.0,8,07,3,3,0,0,3,94.8,"1348",78,0,2,2,2,35.1,440,栗田徹,美,530,23102083,01179,01127,0626111007,田畑利彦,谷川牧場,オルフェーヴル,ヴァンゴーゴー,"Dutch Art",鹿毛,230330,,  ,    ,52.1
25,12,14,5,中山,4,05,新馬,15,芝,8,1600,稍,ジーティーシンドウ,牡,2,菅原明良,56.0,16,05,1,1,0,-0.7,1,96.6,"1366",68,0,5,3,2,35.6,438,栗田徹,美,750,23102083,01179,01127,0625540505,田畑利彦,谷川牧場,オルフェーヴル,ヴァンゴーゴー,"Dutch Art",鹿毛,230330,,  ,    ,52.8
26,03,15,2,中山,6,11,スプリンG2,179,芝,0,1800,良,ジーネキング      ,牡,3,横山和生,57.0,16,07,12,12,0,0.9,12,106.9,"1469",78,2,2,3,2,35.9,496,斎藤誠,美,0,23104885,01140,01086,0626261107,山口雄司,酒井牧場,コントレイル,セカンダリーマーケット,"Into Mischief",黒鹿,230328,,  ,    ,48.9
26,01,18,1,中山,7,11,京成杯G3,163,芝,0,2000,良,ジーネキング      ,牡,3,斎藤新,57.0,15,10,10,10,0,0.6,7,119.9,"1599",78,1,1,1,1,35.3,492,斎藤誠,美,0,23104885,01178,01086,0626171110,山口雄司,酒井牧場,コントレイル,セカンダリーマーケット,"Into Mischief",黒鹿,230328,,  ,    ,52.7
25,12,27,5,中山,7,11,ホープフG1,195,芝,0,2000,良,ジーネキング      ,牡,2,斎藤新,56.0,16,14,12,12,0,1.1,11,122.1,"2021",75,2,2,2,2,36.1,490,斎藤誠,美,0,23104885,01178,01086,0625571114,山口雄司,酒井牧場,コントレイル,セカンダリーマーケット,"Into Mischief",黒鹿,230328,,  ,    ,52.1
25,09,06,2,札幌,5,11,札幌２歳G3,163,芝,0,1800,良,ジーネキング      ,牡,2,斎藤新,55.0,12,01,2,2,0,0,10,110.6,"1506",81,1,1,1,1,36.1,478,斎藤誠,美,1200,23104885,01178,01086,0125251101,山口雄司,酒井牧場,コントレイル,セカンダリーマーケット,"Into Mischief",黒鹿,230328,,  ,    ,53.2
25,08,16,2,新潟,7,01,未勝利*,7,芝,8,1800,良,ジーネキング      ,牡,2,戸崎圭太,55.0,13,08,1,1,0,-0.2,1,108.2,"1482",66,0,0,1,1,34.4,474,斎藤誠,美,560,23104885,05386,01086,0425270108,山口雄司,酒井牧場,コントレイル,セカンダリーマーケット,"Into Mischief",黒鹿,230328,,  ,    ,57.3
