データ順番号,日付,曜日,開催,Ｒ,レース名,重量種別,限定,馬名S,Ｃ,性別,年齢,騎手,斤量,ブリンカー,頭数,馬印,レース印１,人気,着順,距離,馬場状態,着差,2角,3角,4角,上り3F,上3F地点差,馬体重,馬体重増減,多頭出し,所属,調教師,種牡馬,母父馬
103,200412,日,2阪6,11,桜花賞G1,定量,国,ケープコッド,,牝,3,岩田望来, 55 ,,18,"  ",,18,13,芝1600,重,1.6,,14,16,37.8,1.9,464,-6,,(美),高柳瑞樹,ダイワメジャー,"Elusive Quality"
104,200412,日,2阪6,11,桜花賞G1,定量,国,インターミッション,,牝,3,石川裕紀, 55 ,,18,"  ",,13,14,芝1600,重,1.6,,10,9,38.3,1.4,406,+6,*,(美),手塚貴久,ディープインパクト,キングカメハメハ
105,200412,日,2阪6,11,桜花賞G1,定量,国,ヒルノマリブ,,牝,3,北村友一, 55 ,,18,"  ",,15,15,芝1600,重,1.7,,17,18,37.6,2.2,486,+2,*,(栗),北出成人,ゴールドアリュール,シアトルダンサー2
106,200412,日,2阪6,11,桜花賞G1,定量,国,ウーマンズハート,,牝,3,藤岡康太, 55 ,,18,"  ",,10,16,芝1600,重,2.1,,7,5,39.4,0.8,460,0,,(栗),西浦勝一,ハーツクライ,Shamardal
107,200412,日,2阪6,11,桜花賞G1,定量,国,ナイントゥファイブ,,牝,3,松田大作, 55 ,,18,"  ",,17,17,芝1600,重,3.6,,3,5,41.0,0.7,468,+4,,(栗),西園正都,スクリーンヒーロー,"Blu Air Force"
108,200412,日,2阪6,11,桜花賞G1,定量,国,ヤマカツマーメイド,,牝,3,池添謙一, 55 ,,18,"  ",,12,18,芝1600,重,3.8,,3,3,41.5,0.4,476,+4,,(栗),池添兼雄,ロードカナロア,グラスワンダー
109,190407,日,2阪6,11,桜花賞G1,定量,国,グランアレグリア,,牝,3,ルメール, 55 ,,18,"  ",,2,１,芝1600,良,-0.4,,3,1,33.3,0.0,476,-6,*,(美),藤沢和雄,ディープインパクト,Tapit
110,190407,日,2阪6,11,桜花賞G1,定量,国,シゲルピンクダイヤ,,牝,3,和田竜二, 55 ,,18,"  ",,7,２,芝1600,良,0.4,,15,12,32.7,1.0,458,+6,,(栗),渡辺薫彦,ダイワメジャー,"High Chaparral"
111,190407,日,2阪6,11,桜花賞G1,定量,国,クロノジェネシス,,牝,3,北村友一, 55 ,,18,"  ",,3,３,芝1600,良,0.4,,8,9,32.9,0.8,434,-4,,(栗),斉藤崇史,バゴ,クロフネ
112,190407,日,2阪6,11,桜花賞G1,定量,国,ダノンファンタジー,,牝,3,川田将雅, 55 ,,18,"  ",,1,４,芝1600,良,0.4,,5,4,33.4,0.3,462,+2,,(栗),中内田充,ディープインパクト,"Not For Sale"
113,190407,日,2阪6,11,桜花賞G1,定量,国,ビーチサンバ,,牝,3,福永祐一, 55 ,,18,"  ",,4,５,芝1600,良,0.5,,10,6,33.3,0.5,470,-6,,(栗),友道康夫,クロフネ,サンデーサイレンス
114,190407,日,2阪6,11,桜花賞G1,定量,国,プールヴィル,,牝,3,秋山真一, 55 ,,18,"  ",,14,６,芝1600,良,0.6,,1,2,33.8,0.1,418,0,,(栗),庄野靖志,"Le Havre",Kendargent
115,190407,日,2阪6,11,桜花賞G1,定量,国,エールヴォア,,牝,3,松山弘平, 55 ,,18,"  ",,8,７,芝1600,良,0.8,,13,15,32.9,1.2,508,-2,,(栗),橋口慎介,ヴィクトワールピサ,ワイルドラッシュ
116,190407,日,2阪6,11,桜花賞G1,定量,国,ジュランビル,,牝,3,松若風馬, 55 ,,18,"  ",,16,８,芝1600,良,0.9,,2,3,34.0,0.2,460,-4,,(栗),寺島良,キンシャサノキセキ,"Deputy Minister"
117,190407,日,2阪6,11,桜花賞G1,定量,国,シェーングランツ,,牝,3,武豊, 55 ,,18,"  ",,6,９,芝1600,良,1.0,,16,15,33.0,1.3,462,-10,*,(美),藤沢和雄,ディープインパクト,Monsun
118,190407,日,2阪6,11,桜花賞G1,定量,国,アウィルアウェイ,,牝,3,石橋脩, 55 ,,18,"  ",,11,10,芝1600,良,1.3,,13,9,33.8,0.8,458,-4,,(栗),高野友和,ジャスタウェイ,キングカメハメハ
119,190407,日,2阪6,11,桜花賞G1,定量,国,ノーワン,,牝,3,坂井瑠星, 55 ,,18,"  ",,12,11,芝1600,良,1.5,,8,9,34.0,0.8,482,+2,,(栗),笹田和秀,ハーツクライ,Caerleon
120,190407,日,2阪6,11,桜花賞G1,定量,国,メイショウケイメイ,,牝,3,古川吉洋, 55 ,,18,"  ",,18,12,芝1600,良,1.7,,3,4,34.7,0.3,412,-2,,(栗),南井克巳,ワークフォース,デュランダル
121,190407,日,2阪6,11,桜花賞G1,定量,国,アクアミラビリス,,牝,3,Ｍ．デム, 55 ,,18,"  ",,5,13,芝1600,良,1.9,,7,6,34.7,0.5,408,-10,,(栗),吉村圭司,ヴィクトワールピサ,Anabaa
122,190407,日,2阪6,11,桜花賞G1,定量,国,レッドアステル,,牝,3,戸崎圭太, 55 ,,18,"  ",,15,14,芝1600,良,2.0,,16,15,34.0,1.3,408,-16,,(美),国枝栄,ディープインパクト,"Smart Strike"
123,190407,日,2阪6,11,桜花賞G1,定量,国,フィリアプーラ,,牝,3,丸山元気, 55 ,,18,"  ",,13,15,芝1600,良,2.3,,18,18,34.0,1.6,434,-2,,(美),菊沢隆徳,ハービンジャー,サンデーサイレンス
124,190407,日,2阪6,11,桜花賞G1,定量,国,ホウオウカトリーヌ,,牝,3,大野拓弥, 55 ,,18,"  ",,17,16,芝1600,良,2.3,,5,6,35.0,0.6,476,0,,(美),栗田徹,マツリダゴッホ,Henrythenavigator
125,190407,日,2阪6,11,桜花賞G1,定量,国,ノーブルスコア,,牝,3,岩田康誠, 55 ,,18,"  ",,10,17,芝1600,良,2.4,,10,12,34.7,1.0,434,+6,,(栗),藤原英昭,ディープインパクト,"Dylan Thomas"
126,190407,日,2阪6,11,桜花賞G1,定量,国,ルガールカルム,,牝,3,三浦皇成, 55 ,,18,"  ",,9,18,芝1600,良,2.8,,10,12,35.1,1.0,456,-4,,(美),田村康仁,ロードカナロア,"Sunday Silence"
127,180408,日,2阪6,11,桜花賞G1,定量,国,アーモンドアイ,,牝,3,ルメール, 55 ,,18,"  ",,2,１,芝1600,良,-0.3,,15,16,33.2,1.2,462,-2,,(美),国枝栄,ロードカナロア,サンデーサイレンス
128,180408,日,2阪6,11,桜花賞G1,定量,国,ラッキーライラック,,牝,3,石橋脩, 55 ,,18,"  ",,1,２,芝1600,良,0.3,,3,3,34.5,0.2,488,-6,,(栗),松永幹夫,オルフェーヴル,"Flower Alley"
129,180408,日,2阪6,11,桜花賞G1,定量,国,リリーノーブル,,牝,3,川田将雅, 55 ,,18,"  ",,3,３,芝1600,良,0.4,,6,6,34.3,0.5,498,0,*,(栗),藤岡健一,ルーラーシップ,クロフネ
130,180408,日,2阪6,11,桜花賞G1,定量,国,トーセンブレス,,牝,3,柴田善臣, 55 ,,18,"  ",,8,４,芝1600,良,0.7,,13,13,34.2,0.9,456,0,,(美),加藤征弘,ディープインパクト,ファルブラヴ
131,180408,日,2阪6,11,桜花賞G1,定量,国,マウレア,,牝,3,武豊, 55 ,,18,"  ",,4,５,芝1600,良,0.7,,12,9,34.4,0.7,440,+2,,(美),手塚貴久,ディープインパクト,"Storm Cat"
132,180408,日,2阪6,11,桜花賞G1,定量,国,リバティハイツ,,牝,3,北村友一, 55 ,,18,"  ",,10,６,芝1600,良,0.7,,6,6,34.6,0.5,440,-2,,(栗),高野友和,キングカメハメハ,Dubawi
133,180408,日,2阪6,11,桜花賞G1,定量,国,レッドサクヤ,,牝,3,松山弘平, 55 ,,18,"  ",,12,７,芝1600,良,0.7,,5,3,34.8,0.3,466,+4,*,(栗),藤原英昭,ディープインパクト,デインヒル
134,180408,日,2阪6,11,桜花賞G1,定量,国,スカーレットカラー,,牝,3,岩田康誠, 55 ,,18,"  ",,15,８,芝1600,良,0.7,,10,9,34.4,0.7,436,-6,,(栗),高橋亮,ヴィクトワールピサ,ウォーエンブレム
135,180408,日,2阪6,11,桜花賞G1,定量,国,ツヅミモン,,牝,3,秋山真一, 55 ,,18,"  ",,16,９,芝1600,良,0.7,,2,2,35.1,0.0,522,-10,*,(栗),藤岡健一,ストロングリターン,ダンスインザダーク
136,180408,日,2阪6,11,桜花賞G1,定量,国,プリモシーン,,牝,3,戸崎圭太, 55 ,,18,"  ",,6,10,芝1600,良,0.9,,15,13,34.3,1.0,478,-4,,(美),木村哲也,ディープインパクト,"Fastnet Rock"
137,180408,日,2阪6,11,桜花賞G1,定量,国,アンコールプリュ,,牝,3,藤岡康太, 55 ,,18,"  ",,9,11,芝1600,良,1.2,,10,9,34.9,0.7,422,-4,,(栗),友道康夫,ディープインパクト,ウイニングチケット
138,180408,日,2阪6,11,桜花賞G1,定量,国,フィニフティ,,牝,3,福永祐一, 55 ,,18,"  ",,5,12,芝1600,良,1.4,,14,13,34.8,1.0,420,-6,*,(栗),藤原英昭,ディープインパクト,クロフネ
139,180408,日,2阪6,11,桜花賞G1,定量,国,デルニエオール,,牝,3,池添謙一, 55 ,,18,"  ",,13,13,芝1600,良,1.5,,17,17,34.4,1.5,408,-2,,(栗),池江泰寿,ステイゴールド,メジロマックイーン
140,180408,日,2阪6,11,桜花賞G1,定量,国,ハーレムライン,,牝,3,大野拓弥, 55 ,,18,"  ",,11,14,芝1600,良,1.5,,6,6,35.4,0.5,450,-6,,(美),田中清隆,マンハッタンカフェ,グルームダンサー
141,180408,日,2阪6,11,桜花賞G1,定量,国,レッドレグナント,,牝,3,Ｍ．デム, 55 ,,18,"  ",,7,15,芝1600,良,1.6,,9,9,35.3,0.7,472,-2,,(美),大竹正博,ロードカナロア,クロフネ
142,180408,日,2阪6,11,桜花賞G1,定量,国,コーディエライト,,牝,3,和田竜二, 55 ,,18,"  ",,17,16,芝1600,良,2.0,,1,1,36.4,0.0,462,-8,,(栗),佐々木晶,ダイワメジャー,"Out of Place"
143,180408,日,2阪6,11,桜花賞G1,定量,国,アンヴァル,,牝,3,藤岡佑介, 55 ,,18,"  ",,14,17,芝1600,良,2.1,,3,3,36.2,0.3,450,0,*,(栗),藤岡健一,ロードカナロア,フレンチデピュティ
144,180408,日,2阪6,11,桜花賞G1,定量,国,アマルフィコースト,,牝,3,浜中俊, 55 ,,18,"  ",,,消,芝1600,良,----,,,,,,,,,(栗),牧田和弥,ダイワメジャー,"High Chaparral"
145,170409,日,2阪6,11,桜花賞G1,定量,国,レーヌミノル,,牝,3,池添謙一, 55 ,,18,"  ",,8,１,芝1600,稍,-0.1,,4,4,35.4,0.8,466,-2,,(栗),本田優,ダイワメジャー,タイキシャトル
146,170409,日,2阪6,11,桜花賞G1,定量,国,リスグラシュー,,牝,3,武豊, 55 ,,18,"  ",,3,２,芝1600,稍,0.1,,9,8,35.3,1.0,436,-2,,(栗),矢作芳人,ハーツクライ,"American Post"
147,170409,日,2阪6,11,桜花賞G1,定量,国,ソウルスターリング,,牝,3,ルメール, 55 ,,18,"  ",,1,３,芝1600,稍,0.1,,6,5,35.4,0.9,474,-2,,(美),藤沢和雄,Frankel,Monsun
148,170409,日,2阪6,11,桜花賞G1,定量,国,カラクレナイ,,牝,3,田辺裕信, 55 ,,18,"  ",,7,４,芝1600,稍,0.2,,15,14,35.0,1.4,480,+2,,(栗),松下武士,ローエングリン,アグネスタキオン
149,170409,日,2阪6,11,桜花賞G1,定量,国,アエロリット,,牝,3,横山典弘, 55 ,,18,"  ",,6,５,芝1600,稍,0.2,,14,14,35.0,1.4,480,-6,,(美),菊沢隆徳,クロフネ,ネオユニヴァース
150,170409,日,2阪6,11,桜花賞G1,定量,国,ディアドラ,,牝,3,岩田康誠, 55 ,,18,"  ",,14,６,芝1600,稍,0.4,,15,16,34.9,1.7,474,+2,,(栗),橋田満,ハービンジャー,スペシャルウィーク
151,170409,日,2阪6,11,桜花賞G1,定量,国,カワキタエンカ,,牝,3,和田竜二, 55 ,,18,"  ",,10,７,芝1600,稍,0.6,,1,1,36.8,0.0,458,-2,,(栗),浜田多実,ディープインパクト,クロフネ
152,170409,日,2阪6,11,桜花賞G1,定量,国,ライジングリーズン,,牝,3,丸田恭介, 55 ,,18,"  ",,9,８,芝1600,稍,0.7,,11,12,35.6,1.3,482,0,,(美),奥村武,ブラックタイド,キングカメハメハ
153,170409,日,2阪6,11,桜花賞G1,定量,国,ジューヌエコール,,牝,3,北村友一, 55 ,,18,"  ",,12,９,芝1600,稍,0.8,,6,5,36.1,0.9,484,-4,,(栗),安田隆行,クロフネ,アグネスタキオン
154,170409,日,2阪6,11,桜花賞G1,定量,国,ヴゼットジョリー,,牝,3,福永祐一, 55 ,,18,"  ",,13,10,芝1600,稍,0.8,,2,2,36.5,0.5,456,-6,,(栗),中内田充,ローエングリン,サンデーサイレンス
155,170409,日,2阪6,11,桜花賞G1,定量,国,ミスエルテ,,牝,3,川田将雅, 55 ,,18,"  ",,5,11,芝1600,稍,0.9,,6,9,35.9,1.2,450,-4,,(栗),池江泰寿,Frankel,Pulpit
156,170409,日,2阪6,11,桜花賞G1,定量,国,アドマイヤミヤビ,,牝,3,Ｍ．デム, 55 ,,18,"  ",,2,12,芝1600,稍,1.0,,17,16,35.6,1.6,474,-6,,(栗),友道康夫,ハーツクライ,クロフネ
157,170409,日,2阪6,11,桜花賞G1,定量,国,ゴールドケープ,,牝,3,丸山元気, 55 ,,18,"  ",,11,13,芝1600,稍,1.2,,13,12,36.1,1.3,434,+2,,(栗),荒川義之,ワークフォース,デュランダル
158,170409,日,2阪6,11,桜花賞G1,定量,国,アロンザモナ,,牝,3,幸英明, 55 ,,18,"  ",,16,14,芝1600,稍,1.3,,11,9,36.3,1.2,462,-8,*,(栗),西浦勝一,ストリートセンス,クリエイター
159,170409,日,2阪6,11,桜花賞G1,定量,国,ショーウェイ,,牝,3,松若風馬, 55 ,,18,"  ",,15,15,芝1600,稍,1.3,,3,3,36.9,0.6,458,+2,,(栗),斉藤崇史,メイショウボーラー,フジキセキ
160,170409,日,2阪6,11,桜花賞G1,定量,国,ミスパンテール,,牝,3,四位洋文, 55 ,,18,"  ",,4,16,芝1600,稍,2.3,,9,9,37.4,1.1,502,+6,,(栗),昆貢,ダイワメジャー,シンボリクリスエス
161,170409,日,2阪6,11,桜花賞G1,定量,国,ベルカプリ,,牝,3,藤岡佑介, 55 ,,18,"  ",,17,17,芝1600,稍,2.7,,4,5,38.0,0.9,448,-10,*,(栗),西浦勝一,ダイワメジャー,Montjeu
162,170409,日,2阪6,11,桜花賞G1,定量,国,サロニカ,,牝,3,浜中俊, 55 ,,18,"  ",,,消,芝1600,稍,----,,,,,,,,,(栗),角居勝彦,ディープインパクト,Lomitas
163,160410,日,2阪6,11,桜花賞G1,定量,国,ジュエラー,,牝,3,Ｍ．デム, 55 ,,18,"  ",,3,１,芝1600,良,-0.0,,16,17,33.0,1.3,494,-4,,(栗),藤岡健一,ヴィクトワールピサ,"Pistolet Bleu"
164,160410,日,2阪6,11,桜花賞G1,定量,国,シンハライト,,牝,3,池添謙一, 55 ,,18,"  ",,2,２,芝1600,良,0.0,,8,8,33.7,0.6,426,-4,,(栗),石坂正,ディープインパクト,Singspiel
165,160410,日,2阪6,11,桜花賞G1,定量,国,アットザシーサイド,,牝,3,福永祐一, 55 ,,18,"  ",,6,３,芝1600,良,0.3,,10,11,33.9,0.7,430,-10,,(栗),浅見秀一,キングカメハメハ,アグネスタキオン
166,160410,日,2阪6,11,桜花賞G1,定量,国,メジャーエンブレム,,牝,3,ルメール, 55 ,,18,"  ",,1,４,芝1600,良,0.4,,7,7,34.2,0.5,502,+4,,(美),田村康仁,ダイワメジャー,オペラハウス
167,160410,日,2阪6,11,桜花賞G1,定量,国,アドマイヤリード,,牝,3,藤岡康太, 55 ,,18,"  ",,13,５,芝1600,良,0.5,,18,18,33.2,1.6,412,0,,(栗),須貝尚介,ステイゴールド,Numerous
168,160410,日,2阪6,11,桜花賞G1,定量,国,ラベンダーヴァレイ,,牝,3,戸崎圭太, 55 ,,18,"  ",,5,６,芝1600,良,0.7,,5,4,34.7,0.3,428,-2,,(栗),藤原英昭,ディープインパクト,フレンチデピュティ
169,160410,日,2阪6,11,桜花賞G1,定量,国,レッドアヴァンセ,,牝,3,武豊, 55 ,,18,"  ",,4,７,芝1600,良,0.9,,15,15,34.2,1.0,430,+2,,(栗),音無秀孝,ディープインパクト,ダンシングブレーヴ
170,160410,日,2阪6,11,桜花賞G1,定量,国,ブランボヌール,,牝,3,三浦皇成, 55 ,,18,"  ",,10,８,芝1600,良,0.9,,12,12,34.4,0.8,422,-8,,(栗),中竹和也,ディープインパクト,サクラバクシンオー
171,160410,日,2阪6,11,桜花賞G1,定量,国,ビービーバーレル,,牝,3,石橋脩, 55 ,,18,"  ",,12,９,芝1600,良,1.0,,8,8,34.7,0.6,480,+2,,(美),中舘英二,パイロ,"Silver Hawk"
172,160410,日,2阪6,11,桜花賞G1,定量,国,デンコウアンジュ,,牝,3,川田将雅, 55 ,,18,"  ",,7,10,芝1600,良,1.0,,16,15,34.2,1.1,442,-8,,(栗),荒川義之,メイショウサムソン,マリエンバード
173,160410,日,2阪6,11,桜花賞G1,定量,国,メイショウスイヅキ,,牝,3,松山弘平, 55 ,,18,"  ",,14,11,芝1600,良,1.2,,13,12,34.6,0.9,446,+4,*,(栗),本田優,パイロ,ダンスインザダーク
174,160410,日,2阪6,11,桜花賞G1,定量,国,ウインファビラス,,牝,3,松岡正海, 55 ,,18,"  ",,9,12,芝1600,良,1.3,,3,3,35.5,0.1,442,-2,,(美),畠山吉宏,ステイゴールド,アドマイヤコジーン
175,160410,日,2阪6,11,桜花賞G1,定量,国,キャンディバローズ,,牝,3,菱田裕二, 55 ,,18,"  ",,11,13,芝1600,良,1.3,,13,12,34.7,0.9,408,+2,,(栗),矢作芳人,ディープインパクト,タイキシャトル
176,160410,日,2阪6,11,桜花賞G1,定量,国,カトルラポール,,牝,3,秋山真一, 55 ,,18,"  ",,17,14,芝1600,良,1.7,,1,1,36.0,0.0,458,-4,,(美),浅野洋一,グラスワンダー,Danzig
177,160410,日,2阪6,11,桜花賞G1,定量,国,ジープルメリア,,牝,3,松田大作, 55 ,,18,"  ",,16,15,芝1600,良,1.8,,5,4,35.9,0.2,442,-8,,(栗),南井克巳,"Street Sense",Alzao
178,160410,日,2阪6,11,桜花賞G1,定量,国,メイショウバーズ,,牝,3,古川吉洋, 55 ,,18,"  ",,18,16,芝1600,良,1.8,,2,2,36.1,0.0,442,+4,*,(栗),本田優,タニノギムレット,デヒア
179,160410,日,2阪6,11,桜花賞G1,定量,国,ソルヴェイグ,,牝,3,蛯名正義, 55 ,,18,"  ",,8,17,芝1600,良,2.0,,10,8,35.7,0.6,460,0,,(栗),鮫島一歩,ダイワメジャー,ジャングルポケット
180,160410,日,2阪6,11,桜花賞G1,定量,国,アッラサルーテ,,牝,3,和田竜二, 55 ,,18,"  ",,15,18,芝1600,良,2.1,,3,4,36.2,0.2,456,-10,,(美),手塚貴久,ダイワメジャー,Cozzene
