Ｍ,日付,レース名,馬名S,Ｃ,性別,年齢,人気,着順,間隔,頭数,開催,距離,馬場状態,2角,3角,4角,前走開催,前芝・ダ,前距離,前走馬場状態,前2角,前3角,前4角,前走人気,前走着順,前走着差タイム,前クラス名,騎手,前騎手,馬体重,馬体重増減,前走馬体重増減,斤量,前走斤量,ブリンカー,前走B,馬印,前走馬印,馬印2,前走馬印2,馬印3,前走馬印3,馬印4,前走馬印4,多頭出し,所属,調教師,前走日付,前走レース名
,240406,阪神牝馬G2,シングザットソング,,牝,4,7,４,7,11,2阪5,芝1600,良,,5,4,2京7,芝,1400,良,,9,10,11,５, 0.2,Ｇ３,鮫島克駿,鮫島克駿,440,-10,+4, 55 , 57 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),高野友和,240217,京都牝馬G3
,240406,阪神牝馬G2,ドゥアイズ,,牝,4,2,５,8,11,2阪5,芝1600,良,,9,9,2京5,芝,1600,良,,8,6,2,１,-0.0,OP(L),ムルザバ,ルメート,468,0,+8, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),庄野靖志,240210,洛陽ＳＨ(L)
,240406,阪神牝馬G2,テンハッピーローズ,,牝,6,9,６,7,11,2阪5,芝1600,良,,7,7,2京7,芝,1400,良,,16,14,8,７, 0.3,Ｇ３,津村明秀,津村明秀,462,0,+8, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),高柳大輔,240217,京都牝馬G3
,240406,阪神牝馬G2,モズゴールドバレル,,牝,5,5,７,7,11,2阪5,芝1600,良,,3,2,2京7,芝,1400,良,,4,4,6,８, 0.4,Ｇ３,藤岡佑介,団野大成,454,+6,-10, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),藤岡健一,240217,京都牝馬G3
,240406,阪神牝馬G2,ゴールドエクリプス,,牝,5,8,８,7,11,2阪5,芝1600,良,,2,2,2小4,芝,1800,良,9,8,6,2,12, 1.1,Ｇ３,岩田望来,角田大河,494,+2,0, 55 , 53 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),大久保龍,240218,小倉大賞ＨG3
,240406,阪神牝馬G2,サブライムアンセム,,牝,5,10,９,4,11,2阪5,芝1600,良,,1,1,1阪5,ダ,1400,良,,6,8,14,16, 2.8,OP(L),北村友一,田口貫太,492,-4,+8, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),藤原英昭,240309,コーラＨ(L)
,240406,阪神牝馬G2,ライラック,,牝,5,6,10,15,11,2阪5,芝1600,良,,5,4,5中8,芝,2500,良,13,15,12,10,13, 0.9,Ｇ１,戸崎圭太,戸崎圭太,432,-16,+6, 55 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),相沢郁,231224,有馬記念G1
,240406,阪神牝馬G2,スピーディキック,,牝,5,11,11,7,11,2阪5,芝1600,良,,11,11,1東8,ダ,1600,良,,9,9,15,13, 2.0,Ｇ１,御神本訓,御神本訓,480,-4,-3, 55 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,[地],藤原智行,240218,フェブラG1
,230408,阪神牝馬G2,サウンドビバーチェ,,牝,4,6,１,8,12,2阪5,芝1600,稍,,2,2,1阪1,芝,1600,良,,3,3,2,11, 0.8,OP(L),浜中俊,団野大成,498,-2,+14, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",*,(栗),高柳大輔,230211,洛陽ＳＨ(L)
,230408,阪神牝馬G2,サブライムアンセム,,牝,4,10,２,7,12,2阪5,芝1600,稍,,3,3,1阪3,芝,1400,良,,15,12,5,15, 1.1,Ｇ３,岩田望来,岩田望来,492,0,+6, 55 , 57 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",*,(栗),藤原英昭,230218,京都牝馬G3
,230408,阪神牝馬G2,コスタボニータ,,牝,4,9,３,8,12,2阪5,芝1600,稍,,6,5,1東6,芝,1800,良,3,3,3,8,１,-0.1,3勝,鮫島克駿,松山弘平,462,+6,0, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),杉山佳明,230212,初音Ｓ･3勝
,230408,阪神牝馬G2,ウインシャーロット,,牝,5,2,４,7,12,2阪5,芝1600,稍,,1,1,1阪3,芝,1400,良,,1,1,1,２, 0.0,Ｇ３,石川裕紀,石川裕紀,512,-2,+4, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),和田正一,230218,京都牝馬G3
,230408,阪神牝馬G2,アンドヴァラナウト,,牝,5,7,５,12,12,2阪5,芝1600,稍,,10,11,1名5,芝,2000,重,10,13,14,8,９, 1.6,Ｇ３,吉田隼人,イーガン,454,+2,+2, 55 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),池添学,230114,愛知杯ＨG3
,230408,阪神牝馬G2,ルージュスティリア,,牝,4,1,６,11,12,2阪5,芝1600,稍,,5,8,1名8,芝,1600,良,2,2,2,1,１,-0.4,3勝,川田将雅,福永祐一,486,0,0, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",*,(栗),藤原英昭,230122,長篠ＳＨ･3勝
,230408,阪神牝馬G2,テンハッピーローズ,,牝,5,12,７,7,12,2阪5,芝1600,稍,,8,8,1阪3,芝,1400,良,,8,7,9,６, 0.4,Ｇ３,藤岡康太,福永祐一,450,-4,+2, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",*,(栗),高柳大輔,230218,京都牝馬G3
,230408,阪神牝馬G2,フラーズダルム,,牝,5,8,８,8,12,2阪5,芝1600,稍,,10,11,1阪1,芝,1600,良,,11,11,5,４, 0.3,OP(L),北村友一,坂井瑠星,496,-4,+2, 55 , 53 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),松永昌博,230211,洛陽ＳＨ(L)
,230408,阪神牝馬G2,ママコチャ,,牝,4,3,９,16,12,2阪5,芝1600,稍,,8,3,5中5,芝,1600,良,2,4,4,1,５, 0.2,Ｇ３,松山弘平,松山弘平,484,+6,-6, 55 , 53 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),池江泰寿,221217,ターコイＨG3
,230408,阪神牝馬G2,イズジョーノキセキ,,牝,6,5,10,15,12,2阪5,芝1600,稍,,3,5,5中8,芝,2500,良,7,8,6,13,４, 0.8,Ｇ１,岩田康誠,岩田康誠,470,-2,+2, 56 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),石坂公一,221225,有馬記念G1
,230408,阪神牝馬G2,ピンハイ,,牝,4,4,11,9,12,2阪5,芝1600,稍,,6,5,1東4,芝,1600,良,,8,8,3,８, 0.5,Ｇ３,高倉稜,坂井瑠星,404,-2,-6, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),田中克典,230205,東京新聞G3
,230408,阪神牝馬G2,ディヴィーナ,,牝,5,11,12,7,12,2阪5,芝1600,稍,,10,8,1阪3,芝,1400,良,,8,9,10,10, 0.6,Ｇ３,池添謙一,坂井瑠星,424,-4,-2, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),友道康夫,230218,京都牝馬G3
,220409,阪神牝馬G2,メイショウミモザ,,牝,5,9,１,8,12,2阪5,芝1600,良,,6,6,2小2,芝,1200,稍,,9,11,3,13, 0.6,ｵｰﾌﾟﾝ,鮫島克駿,田中健,456,0,0, 54 , 54 ,B,B,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),池添兼雄,220213,北九州短
,220409,阪神牝馬G2,アンドヴァラナウト,,牝,4,1,２,12,12,2阪5,芝1600,良,,3,2,1名5,芝,2000,良,5,6,5,1,11, 0.6,Ｇ３,福永祐一,松山弘平,444,-4,+16, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),池添学,220115,愛知杯ＨG3
