# フローラS - ストライド競馬新聞 ラップキャラ入力用 (前日20時公開)
# 列: name / lapChar / paperVerdict
# lapChar: ストライド紙原文(高速バランス等)でOK、スクリプトが自動でUG訳に変換
#   Speed 神速(超高速) / 疾風(高速) / 常足(中速) / 伏脚(低速)
#   Style 粘腰(持続) / 万能(バランス) / 閃光(瞬発) / 剛脚(底力)
#   例: 高速バランス → 疾風万能 / 中速瞬発 → 常足閃光
# paperVerdict: ピッタリ/カスリ/V/- (参考用、gradeには使わない)
name	lapChar	paperVerdict
エイシンウィスパー		
エンネ		
コウギョク		
ゴバド		
サムシングスイート		
スタニングレディ		
スピナーリート		
ファムクラジューズ		
ペイシャシス		
ペンダント		
マツリダイコ		
ラフターラインズ		
ラベルセーヌ		
リアライズルミナス		
リスレジャンデール		
ロングトールサリー		
